Date,Open,High,Low,Close
08/28/2024,"25,030.80","25,129.60","24,964.65","25,052.35"
08/27/2024,"25,024.80","25,073.10","24,973.65","25,017.75"
08/26/2024,"24,906.10","25,043.80","24,874.70","25,010.60"
08/23/2024,"24,845.40","24,858.40","24,771.65","24,823.15"
08/22/2024,"24,863.40","24,867.35","24,784.45","24,811.50"
08/21/2024,"24,680.55","24,787.95","24,654.50","24,770.20"
08/20/2024,"24,648.90","24,734.30","24,607.20","24,698.85"
08/19/2024,"24,636.35","24,638.80","24,522.95","24,572.65"
08/16/2024,"24,334.85","24,563.90","24,204.50","24,541.15"
08/14/2024,"24,184.40","24,196.50","24,099.70","24,143.75"
08/13/2024,"24,342.35","24,359.95","24,116.50","24,139.00"
08/12/2024,"24,320.05","24,472.80","24,212.10","24,347.00"
08/09/2024,"24,386.85","24,419.75","24,311.20","24,367.50"
08/08/2024,"24,248.55","24,340.50","24,079.70","24,117.00"
08/07/2024,"24,289.40","24,337.70","24,184.90","24,297.50"
08/06/2024,"24,189.85","24,382.60","23,960.40","23,992.55"
08/05/2024,"24,302.85","24,350.05","23,893.70","24,055.60"
08/02/2024,"24,789.00","24,851.90","24,686.85","24,717.70"
08/01/2024,"25,030.95","25,078.30","24,956.40","25,010.90"
07/31/2024,"24,886.70","24,984.60","24,856.50","24,951.15"
07/30/2024,"24,839.40","24,971.75","24,798.65","24,857.30"
07/29/2024,"24,943.30","24,999.75","24,774.60","24,836.10"
